,Open,High,Close
53,809.280029,816.219971,812.5
54,818.3099980000001,819.200012,809.840027
55,817.3599849999999,823.0,815.650024
56,815.919983,824.26001,817.8900150000001
57,812.3900150000001,824.299988,815.340027
58,804.820007,811.349976,807.900024
59,799.299988,809.950012,809.450012
60,792.950012,799.0,795.169983
61,779.950012,792.0,791.469971
62,780.1900019999999,785.280029,776.179993
63,770.0,780.0,778.219971
64,761.900024,770.5,764.460022
65,778.549988,778.599976,764.330017
66,789.099976,791.51001,775.880005
67,788.380005,796.4400019999999,789.4400019999999
68,778.349976,799.73999,785.789978
69,782.6099849999999,782.900024,780.22998
70,789.52002,789.52002,779.0
71,788.98999,793.77002,785.0
72,778.099976,786.549988,784.799988
73,787.169983,791.289978,775.969971
74,782.5,788.900024,786.159973
75,770.419983,783.5,779.97998
76,765.469971,780.23999,775.159973
77,771.76001,771.780029,753.219971
78,776.8099980000001,777.289978,771.75
79,810.0,810.0599980000001,780.289978
80,801.830017,811.710022,805.590027
81,802.030029,816.039978,811.97998
82,794.950012,805.0,802.030029
83,771.299988,788.47998,781.099976
84,784.5,790.0,782.1900019999999
85,806.76001,806.76001,788.419983
86,810.869995,813.960022,805.47998
87,822.429993,822.630005,809.900024
88,829.9400019999999,839.0,819.5599980000001
89,823.01001,826.580017,817.349976
90,827.119995,827.710022,822.099976
91,838.5,838.5,828.549988
92,830.090027,837.9400019999999,835.73999
93,820.0,824.289978,824.0599980000001
94,827.5599980000001,828.469971,821.630005
95,822.880005,829.799988,826.840027
96,814.210022,828.8099980000001,821.48999
97,805.98999,813.48999,806.840027
98,807.450012,810.090027,804.599976
99,806.070007,806.5599980000001,804.080017
100,811.960022,814.5,811.77002
101,814.169983,819.8599849999999,809.570007
102,803.929993,817.380005,814.169983
103,805.929993,805.9400019999999,800.710022
104,804.080017,806.950012,803.080017
105,806.0,808.5,801.22998
106,805.0,806.5,802.789978
107,802.549988,803.539978,800.380005
108,803.599976,808.090027,804.0599980000001
109,807.22998,813.909973,802.6400150000001
110,804.080017,810.25,810.0599980000001
111,801.830017,813.48999,810.72998
112,809.820007,810.080017,802.650024
113,815.1400150000001,817.0,814.960022
114,810.0,819.0599980000001,815.950012
115,801.26001,805.909973,805.030029
116,800.0,802.75,799.780029
117,801.1099849999999,803.98999,795.3900150000001
118,799.02002,799.02002,797.969971
119,790.01001,803.650024,801.22998
120,787.530029,796.330017,790.460022
121,794.01001,795.789978,788.719971
122,784.52002,800.169983,798.820007
123,798.77002,801.75,788.47998
124,805.219971,808.419983,802.840027
125,807.929993,810.599976,807.98999
126,798.3900150000001,810.8900150000001,808.02002
